trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
136,False,"{'a': 0.0035, 'e': 0.8888349386058886}",30,0,-129.18952543915938,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
137,False,"{'a': 0.0035, 'e': 0.8872257014830714}",20,0,-91.45689795097181,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
138,False,"{'a': 0.0035, 'e': 0.8856055958565062}",25,0,-67.16604276284426,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
139,False,"{'a': 0.0035, 'e': 0.8839746415724663}",35,0,-78.00391270187917,"{0: 24, 1: 2, 2: 8, 3: 1, 4: 0}",0
140,False,"{'a': 0.0035, 'e': 0.8823328586101215}",25,0,-139.0633778265121,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
141,False,"{'a': 0.0035, 'e': 0.8806802670812924}",25,6,-98.44448304304557,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 2}",1
142,False,"{'a': 0.0035, 'e': 0.8790168872302047}",25,14,-28.234707300607056,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
143,False,"{'a': 0.0035, 'e': 0.8773427394332407}",20,0,-89.10399300433922,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
144,False,"{'a': 0.0035, 'e': 0.87565784419869}",30,0,-156.16271195478444,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
145,False,"{'a': 0.0035, 'e': 0.8739622221664981}",20,0,-71.06323097484423,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
146,False,"{'a': 0.0035, 'e': 0.8722558941080137}",20,0,-49.28303520982208,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
147,False,"{'a': 0.0035, 'e': 0.8705388809257344}",35,0,-113.93679561803152,"{0: 25, 1: 3, 2: 5, 3: 0, 4: 2}",0
148,False,"{'a': 0.0035, 'e': 0.8688112036530499}",25,0,-222.32950078927016,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
149,False,"{'a': 0.0035, 'e': 0.8670728834539853}",20,0,-96.65602907868475,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
150,False,"{'a': 0.0035, 'e': 0.8653239416229412}",25,0,-136.2248389938308,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
151,False,"{'a': 0.0035, 'e': 0.8635643995844335}",20,15,2.051892275701946,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.0035, 'e': 0.8617942788928298}",20,0,-136.47814184542926,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
153,False,"{'a': 0.0035, 'e': 0.8600136012320866}",20,10,11.544897137638813,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.0035, 'e': 0.8582223884154829}",25,0,-70.12629978659034,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
155,False,"{'a': 0.0035, 'e': 0.8564206623853535}",20,0,-271.03489844413156,"{0: 6, 1: 3, 2: 4, 3: 3, 4: 4}",0
